participant_id	stc_ref_time	fmriprep_start	fmriprep_stop
sub-v1s9x0051329	n/a	2026-03-10T07:04:50	2026-03-10T11:43:29
sub-v1s9x0051330	n/a	2026-03-10T07:06:48	2026-03-10T11:40:20
sub-v1s9x0051331	n/a	2026-03-10T07:07:32	2026-03-10T10:56:12
sub-v1s9x0051349	n/a	2026-03-10T07:10:16	2026-03-10T11:28:29
sub-v1s9x0051350	n/a	2026-03-10T07:14:32	2026-03-10T11:34:13
sub-v1s9x0051351	n/a	2026-03-10T07:15:27	2026-03-10T11:38:15
sub-v1s9x0051352	n/a	2026-03-10T07:16:52	2026-03-10T10:56:58
sub-v1s9x0051353	n/a	2026-03-10T07:20:11	2026-03-10T11:23:19
sub-v1s9x0051354	n/a	2026-03-10T07:21:17	2026-03-10T11:41:51
sub-v1s9x0051355	n/a	2026-03-10T07:26:52	2026-03-10T10:22:42
sub-v1s9x0051356	n/a	2026-03-10T07:27:36	2026-03-10T11:31:31
sub-v1s9x0051357	n/a	2026-03-10T07:28:21	2026-03-10T11:54:59
sub-v1s9x0051358	n/a	2026-03-10T07:30:23	2026-03-10T11:35:12
sub-v1s9x0051359	n/a	2026-03-10T07:31:15	2026-03-10T11:58:36
sub-v1s9x0051360	n/a	2026-03-10T07:39:33	2026-03-10T11:43:53
sub-v1s9x0051361	n/a	2026-03-10T07:48:32	2026-03-10T12:12:36
